code,system
G240000,readv2
G24z000,readv2
G241000,readv2
G2y..00,readv2
Gyu2.00,readv2
F404200,readv2
G2z..00,readv2
G672.00,readv2
G2...11,readv2
G672.11,readv2
F421300,readv2
G2...00,readv2
G21z011,readv2
662G.00,readv2
8B26.00,readv2
8BL0.00,readv2
U60C500,readv2
662r.00,readv2
G201.00,readv2
G20z.00,readv2
G20..00,readv2
G200.00,readv2
I10,readv2
7Q01.00,readv2
6624,readv2
14A2.00,readv2
6146200,readv2
G203.00,readv2
9OI9.00,readv2
G20z.11,readv2
G202.00,readv2
16292,readv2
72030,readv2
204,readv2
8732,readv2
44549,readv2
63000,readv2
61166,readv2
93055,readv2
50157,readv2
63164,readv2
15106,readv2
43935,readv2
96743,readv2
62718,readv2
52127,readv2
10818,readv2
68659,readv2
52621,readv2
67232,readv2
66567,readv2
6702,readv2
29310,readv2
3979,readv2
11056,readv2
16173,readv2
52427,readv2
13188,readv2
61660,readv2
85944,readv2
22333,readv2
3425,readv2
7057,readv2
18590,readv2
28684,readv2
18057,readv2
19070,readv2
57987,readv2
21837,readv2
16565,readv2
21826,readv2
37086,readv2
43664,readv2
20497,readv2
1894,readv2
44350,readv2
63466,readv2
3712,readv2
39649,readv2
62432,readv2
8857,readv2
31464,readv2
72668,readv2
31816,readv2
18765,readv2
15377,readv2
18482,readv2
95334,readv2
21660,readv2
32423,readv2
69753,readv2
95359,readv2
799,readv2
30770,readv2
4372,readv2
83473,readv2
4668,readv2
8296,readv2
27511,readv2
73586,readv2
60655,readv2
Gyu2100,readv2
G21zz00,readv2
G211.00,readv2
G234.00,readv2
G21z100,readv2
G220.00,readv2
G233.00,readv2
G21z.00,readv2
G22z.11,readv2
G231.00,readv2
G22..00,readv2
G22z.00,readv2
G23..00,readv2
G21z000,readv2
G21..00,readv2
G23z.00,readv2
G222.00,readv2
G232.00,readv2
G211000,readv2
G210.00,readv2
G210000,readv2
G230.00,readv2
G221.00,readv2
G210100,readv2
G211100,readv2
I13,readv2
I11,readv2
I12,readv2
G241z00,readv2
G241.00,readv2
G24z.00,readv2
G24zz00,readv2
G244.00,readv2
G24..00,readv2
G24z100,readv2
34744,readv2
25371,readv2
57288,readv2
16059,readv2
51635,readv2
31387,readv2
31341,readv2
32976,readv2
31755,readv2
59383,readv2
7329,readv2
73293,readv2
42229,readv2
97533,readv2
I15,readv2
662F.00,readv2
662O.00,readv2
8I3N.00,readv2
TJC7z00,readv2
U60C51A,readv2
U60C511,readv2
TJC7.00,readv2
L122100,readv2
L122000,readv2
L122.00,readv2
L122300,readv2
L128.00,readv2
L122z00,readv2
6628,readv2
6627,readv2
662b.00,readv2
662d.00,readv2
662c.00,readv2
G240z00,readv2
G240.00,readv2
L128000,readv2
L128200,readv2
L127z00,readv2
L127.00,readv2
212K.00,readv2
2126100,readv2
2666,readv2
66645,readv2
3269,readv2
19342,readv2